mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-1216199,Y5B4Rh15,"['P4/mmm', 'Tetragonal']",False,0.0163247788888911,False,1.649917483329773,0.7958488464355469,YRh3B,0.0666666666666667,-1.5735502529423684e-05
mp-19140,K3MnO4,"['I-42m', 'Tetragonal']",True,0.0,True,6.641008377075195,1.116037130355835,KMnO4,0.4166666666666666,-1.728519782773219e-05
mp-568832,Y(PRu)2,"['I4/mmm', 'Tetragonal']",True,0.0,True,6.060101509094238,0.5662053823471069,RuP,0.3999999999999999,-1.8000440832111053e-05
mp-759775,Li8Mn9O18,"['P1', 'Triclinic']",False,0.0276485979999998,False,30.09147834777832,1.044131875038147,O7,0.9714285714285714,-1.8954096958623268e-05
mp-753674,Li3Mn4O8,"['C2/m', 'Monoclinic']",False,0.0265765243333397,False,30.80131721496582,1.0687357187271118,O7,0.9333333333333332,-1.9311717551318e-05
mp-1202732,Pd2(RhS)15,"['Pm-3m', 'Cubic']",False,0.031831381317934,True,3.8197507858276367,0.719995379447937,Rh17S15,0.125,-1.943092502187937e-05
mp-760821,Li3Mn4O8,"['P1', 'Triclinic']",False,0.0645183430000067,False,28.90497398376465,2.005326509475708,O7,0.9333333333333332,-2.014616620726884e-05
mp-758278,LiMn3O6,"['C2', 'Monoclinic']",False,0.1096874048749958,False,39.5628776550293,3.511026382446289,O7,0.8,-2.026537367783021e-05
mp-1219493,ReMo3,"['Cmmm', 'Orthorhombic']",False,0.0651059806249989,False,7.371574878692627,0.914560616016388,Mo60Re40,0.3,-2.13382354559144e-05
mp-758757,Li2Mn3O6,"['P1', 'Triclinic']",False,0.0621687224242366,False,33.2200813293457,1.4868122339248655,O7,0.9090909090909092,-2.217268229287584e-05
mp-571599,Ba(BiPd)2,"['P2_1/m', 'Monoclinic']",True,0.0,True,2.0541462898254395,1.050647854804993,Bi2Pd3,0.3999999999999999,-2.2291887944447808e-05
mp-23697,K3AlH6,"['I4/mmm', 'Tetragonal']",False,0.0498218295000003,False,23.07368278503418,1.295803427696228,KH,0.4,-2.407998726994265e-05
mp-567203,La(SiOs)2,"['I4/mmm', 'Tetragonal']",True,0.0,True,7.170750141143799,0.7844177484512329,LaOs2,0.7999999999999999,-2.407998726994265e-05
mp-1221488,Mo4C3,"['R-3m', 'Trigonal']",False,0.193866674642857,False,7.518454551696777,1.2925045490264893,C2Mo3,0.0571428571428571,-2.455681169521995e-05
mp-554801,Ca3Nb4(O6F)2,"['P4_332', 'Cubic']",False,0.0197084372619045,True,12.645294189453123,1.2404801845550537,Ca2NbO4,0.2857142857142857,-2.4676019165781327e-05
mp-768763,Li4AlCr3O8,"['P2/m', 'Monoclinic']",False,0.0066886798437426,False,22.29869079589844,0.8655632734298706,CrO2,0.625,-2.825220326485578e-05
mp-1224184,HfZrB4,"['Pmmm', 'Orthorhombic']",True,0.0,False,2.57495641708374,2.0919835567474365,HfB2,0.3333333333333333,-2.9444261599564925e-05
mp-765459,Li3Mn4O8,"['P-1', 'Triclinic']",False,0.0575333916666727,False,29.604930877685547,1.7806111574172974,O7,0.9333333333333332,-3.00402898574248e-05
mp-11273,Be3Nb,"['R-3m', 'Trigonal']",True,0.0,True,0.8545072078704834,0.9618602991104126,Be2Nb,0.1666666666666666,-3.00402898574248e-05
mp-573425,Y8Co5,"['P2_1/c', 'Monoclinic']",False,0.0012234444230774,True,1.3983691930770874,0.5927038192749023,Y4Co3,0.0879120879120879,-3.349725011503324e-05
mp-770527,Li2Mn4O9,"['P-3c1', 'Trigonal']",False,0.0778719275833363,False,38.367034912109375,2.937105417251587,O7,0.8,-3.45700973412022e-05
mp-1185313,LiAlO3,"['Pm-3m', 'Cubic']",False,0.3707503869821398,False,15.415882110595703,4.222156047821045,Al2O3,0.4,-3.576214658096433e-05
mp-1177617,Li3Mn4O8,"['P-1', 'Triclinic']",False,0.0568978640000068,False,30.134906768798828,1.7663757801055908,O7,0.9333333333333332,-3.635817120084539e-05
mp-759090,NaCr2O4,"['Pnma', 'Orthorhombic']",False,0.037030084761902,False,28.21479034423828,1.3761991262435913,CrO2,0.2857142857142857,-4.458328112377785e-05
mp-731715,K4V2O9,"['Cmcm', 'Orthorhombic']",False,0.2488618661666679,True,5.098066806793213,2.3257086277008057,KO3,0.3,-5.030505417380482e-05
mp-1176656,LiMn2O4,"['P-1', 'Triclinic']",False,0.0455457207142782,False,35.71775817871094,1.972337365150452,O7,0.8571428571428572,-5.173549288883805e-05
mp-861240,Li3Al2CrO6,"['C2/m', 'Monoclinic']",False,0.0156406354166618,False,21.401309967041016,3.528870820999145,AlAl2O3,0.6666666666666667,-5.602679812000133e-05
mp-1638896,Li5Mn6O12,"['P1', 'Triclinic']",False,0.0271145728260799,False,30.364192962646484,1.1988524198532104,O7,0.9565217391304348,-6.151010165922344e-05
mp-1077893,Ba(FeSe2)2,"['I4/m', 'Tetragonal']",False,0.1230867749999982,True,20.755836486816406,2.468139171600342,BaFe2Se3,0.1428571428571428,-6.16293036728166e-05
mp-18708,Fe3P,"['I-4', 'Tetragonal']",True,0.0,True,13.067493438720703,2.119239568710327,Fe2P,0.1666666666666666,-6.294052582234144e-05
mp-768694,Li4AlCr3O8,"['P-1', 'Triclinic']",False,0.0131514032812427,False,23.35141944885254,0.9404410123825072,CrO2,0.625,-6.723177648382261e-05
mp-1207867,W21S8,"['I4/m', 'Tetragonal']",False,0.5473907817241379,False,1.872982144355774,0.5682570338249207,W,0.5517241379310345,-6.83045873302035e-05
mp-779719,Li6Mn5O12,"['P1', 'Triclinic']",False,0.0424800358695716,False,31.01276397705078,2.0622823238372803,O7,0.9565217391304348,-6.854299135738984e-05
mp-1177674,Li3Mn4O8,"['P1', 'Triclinic']",False,0.0569811100000068,False,29.799808502197266,1.791813611984253,O7,0.9333333333333332,-7.366862701019272e-05
mp-768749,Li4AlCr3O8,"['P-1', 'Triclinic']",False,0.0127834764062422,False,23.518421173095703,0.93273663520813,CrO2,0.625,-7.486063259420916e-05
mp-542817,UPt,"['P2_1', 'Monoclinic']",False,0.0235311462499989,True,0.7004069089889526,1.1657134294509888,UPt3,0.5,-7.593343616463244e-05
mp-13072,PrGe3Rh,"['I4mm', 'Tetragonal']",True,0.0,True,4.187135219573975,0.6462496519088745,Pr4Ge12,0.4,-7.879423355916515e-05
mp-17387,LiVAsO5,"['Pnma', 'Orthorhombic']",True,0.0,True,28.714754104614254,0.1309924721717834,LiV2O4,0.3571428571428571,-8.654219709569588e-05
mp-22231,UTe3,"['Cmcm', 'Orthorhombic']",False,0.0031558400000104,True,2.4703660011291504,2.971743106842041,UTe2,0.1666666666666666,-9.202533692587168e-05
mp-768851,Li4AlCr3O8,"['P-1', 'Triclinic']",False,0.0131416357812428,False,23.198097229003903,1.0625377893447876,CrO2,0.625,-9.57204756559804e-05
